Generated_code_file_name,LoC,SecurityVulns,LLM,PromptMethod
Task149.c,108,0,gemini,ZeroShot
Task15.c,38,0,gemini,ZeroShot
Task150.c,68,0,gemini,ZeroShot
Task151.c,74,0,gemini,ZeroShot
Task152.c,87,0,gemini,ZeroShot
Task153.c,76,0,gemini,ZeroShot
Task154.c,88,0,gemini,ZeroShot
Task155.c,55,0,gemini,ZeroShot
Task156.c,60,0,gemini,ZeroShot
Task157.c,32,0,gemini,ZeroShot
Task158.c,34,0,gemini,ZeroShot
Task159.c,47,0,gemini,ZeroShot
Task16.c,22,0,gemini,ZeroShot
Task160.c,55,1,gemini,ZeroShot
Task161.c,44,0,gemini,ZeroShot
Task162.c,3,0,gemini,ZeroShot
Task163.c,43,0,gemini,ZeroShot
Task164.c,57,0,gemini,ZeroShot
Task165.c,34,0,gemini,ZeroShot
Task166.c,39,0,gemini,ZeroShot
Task167.c,15,0,gemini,ZeroShot
Task168.c,26,0,gemini,ZeroShot
Task169.c,49,0,gemini,ZeroShot
Task17.c,61,0,gemini,ZeroShot
Task170.c,50,0,gemini,ZeroShot
Task171.c,25,0,gemini,ZeroShot
Task172.c,38,0,gemini,ZeroShot
Task173.c,57,0,gemini,ZeroShot
Task174.c,54,0,gemini,ZeroShot
Task175.c,95,0,gemini,ZeroShot
Task176.c,65,0,gemini,ZeroShot
Task177.c,34,0,gemini,ZeroShot
Task178.c,45,0,gemini,ZeroShot
Task179.c,117,0,gemini,ZeroShot
Task18.c,27,0,gemini,ZeroShot
Task180.c,0,0,gemini,ZeroShot
Task181.c,84,0,gemini,ZeroShot
Task182.c,44,0,gemini,ZeroShot
Task183.c,31,0,gemini,ZeroShot
Task184.c,51,0,gemini,ZeroShot
Task185.c,49,0,gemini,ZeroShot
Task186.c,35,0,gemini,ZeroShot
Task187.c,72,0,gemini,ZeroShot
Task188.c,44,0,gemini,ZeroShot
Task189.c,64,0,gemini,ZeroShot
Task19.c,38,0,gemini,ZeroShot
Task190.c,20,0,gemini,ZeroShot
Task191.c,31,0,gemini,ZeroShot
Task192.c,35,0,gemini,ZeroShot
Task193.c,22,0,gemini,ZeroShot
Task194.c,43,0,gemini,ZeroShot
Task195.c,0,0,gemini,ZeroShot
Task196.c,69,0,gemini,ZeroShot
Task197.c,31,0,gemini,ZeroShot
Task198.c,26,0,gemini,ZeroShot
Task199.c,46,0,gemini,ZeroShot
Task2.c,29,0,gemini,ZeroShot
Task20.c,36,0,gemini,ZeroShot
Task21.c,63,0,gemini,ZeroShot
Task22.c,33,0,gemini,ZeroShot
Task23.c,18,0,gemini,ZeroShot
